TIMESTAMP;POSITION;SPEED;LOAD;POWER;TORQUEREF;SEQFREQ
2024-11-12 18:03:19.941600;249659682;-1093.1;19.2;-42;17;60.60606060606061
2024-11-12 18:03:19.986370;249614104;-765.3;16.8;-21;15;60.60606060606061
2024-11-12 18:03:20.031258;249589748;-429.5;14.3;-8;13;60.60606060606061
2024-11-12 18:03:20.076338;249576846;-207.5;12.1;-2;12;60.60606060606061
2024-11-12 18:03:20.121372;249569918;-103.5;11.5;1;12;60.60606060606061
2024-11-12 18:03:20.166188;249568309;1.3;11.9;2;12;60.60606060606061
2024-11-12 18:03:20.211254;249568751;16.7;11.9;3;12;60.60606060606061
2024-11-12 18:03:20.256392;249570876;67.4;11.7;8;12;60.60606060606061
2024-11-12 18:03:20.301405;249578786;215.6;11.9;13;12;60.60606060606061
2024-11-12 18:03:20.346224;249595465;365.4;12.3;20;13;60.60606060606061
2024-11-12 18:03:20.391298;249620059;592.9;13.4;33;15;60.60606060606061
2024-11-12 18:03:20.436219;249656461;842.4;15.2;48;17;60.60606060606061
2024-11-12 18:03:20.481614;249701147;1015.9;17.4;65;20;60.60606060606061
2024-11-12 18:03:20.526370;249758414;1126.8;19.4;71;20;60.60606060606061
2024-11-12 18:03:20.571281;249811970;1092.9;19.4;66;20;60.60606060606061
2024-11-12 18:03:20.616231;249861214;977.6;19.2;48;18;60.60606060606061
2024-11-12 18:03:20.661266;249900568;690.9;15.9;22;12;60.60606060606061
2024-11-12 18:03:20.706240;249925237;326.6;11.7;7;8;60.60606060606061
2024-11-12 18:03:20.751501;249933947;84.8;7.9;0;7;60.60606060606061
2024-11-12 18:03:20.796341;249934273;-50.2;7.0;-4;7;55.55555555555555
2024-11-12 18:03:20.841405;249924431;-292.6;7.0;-10;8;55.55555555555555
2024-11-12 18:03:20.886265;249897346;-663.9;8.4;-31;12;55.55555555555555
2024-11-12 18:03:20.931769;249842554;-1323.3;13.4;-70;20;55.55555555555555
2024-11-12 18:03:20.976315;249764384;-1662.8;19.6;-89;20;55.55555555555555
2024-11-12 18:03:21.021284;249681302;-1503.3;19.6;-67;19;55.55555555555555
2024-11-12 18:03:21.066205;249622005;-1101.6;17.4;-36;15;55.55555555555555
2024-11-12 18:03:21.111283;249583963;-692.5;14.3;-14;13;55.55555555555555
2024-11-12 18:03:21.156228;249564453;-278.7;12.3;-2;12;55.55555555555555
2024-11-12 18:03:21.201658;249558411;-46.4;11.7;1;11;55.55555555555555
2024-11-12 18:03:21.246229;249556981;-26.0;10.8;1;11;55.55555555555555
2024-11-12 18:03:21.291304;249557152;7.9;10.6;3;11;55.55555555555555
2024-11-12 18:03:21.336249;249560534;112.0;11.0;3;11;55.55555555555555
2024-11-12 18:03:21.381275;249564171;49.7;10.6;6;11;55.55555555555555
2024-11-12 18:03:21.426311;249571030;172.2;10.8;10;12;55.55555555555555
2024-11-12 18:03:21.471418;249583257;305.7;12.1;18;13;55.55555555555555
2024-11-12 18:03:21.516230;249605038;558.3;13.0;31;14;55.55555555555555
2024-11-12 18:03:21.561279;249639073;825.2;14.6;48;16;55.55555555555555
2024-11-12 18:03:21.606240;249691292;1080.2;16.3;66;19;55.55555555555555
2024-11-12 18:03:21.651419;249747304;1207.9;19.0;70;20;55.55555555555555
2024-11-12 18:03:21.696245;249803704;1150.9;19.6;68;20;55.55555555555555
2024-11-12 18:03:21.741297;249854817;991.4;19.4;51;19;55.55555555555555
2024-11-12 18:03:21.786239;249897874;731.1;16.3;26;12;55.55555555555555
2024-11-12 18:03:21.831546;249922252;363.3;11.2;7;8;55.55555555555555
2024-11-12 18:03:21.876328;249929838;2.7;8.1;-1;7;55.55555555555555
2024-11-12 18:03:21.921609;249924706;-250.4;7.5;-9;8;53.33333333333333
2024-11-12 18:03:21.966251;249899530;-624.8;9.2;-27;12;53.33333333333333
2024-11-12 18:03:22.011292;249852511;-1126.7;12.8;-60;19;53.33333333333333
2024-11-12 18:03:22.056217;249783081;-1535.7;18.8;-90;20;53.33333333333333
2024-11-12 18:03:22.101428;249703916;-1651.8;19.6;-84;20;53.33333333333333
2024-11-12 18:03:22.146218;249625229;-1359.1;19.0;-48;15;53.33333333333333
2024-11-12 18:03:22.191362;249577754;-877.6;13.9;-22;12;53.33333333333333
2024-11-12 18:03:22.236734;249549073;-477.0;11.5;-5;11;53.33333333333333
2024-11-12 18:03:22.281358;249537802;-89.3;11.0;1;10;53.33333333333333
